,Course_Name,Course_Description,Lectures_Num,Course_Level,Course_hours,Rate,Number_Rates
0,complet python bootcamp go zero hero python,learn python like profession start basic go way creat applic game jose portilla,185,All Levels,24,4.5,229492
1,data scienc cours complet data scienc bootcamp,complet data scienc train mathemat statist python advanc statist python machin deep learn career,471,All Levels,29,4.5,45837
2,complet web develop bootcamp,becom fullstack web develop one cours html css javascript node react mongodb angela yu,463,All Levels,535,4.7,37617
3,machin learn az handson python r data scienc,learn creat machin learn algorithm python r two data scienc expert code templat includ kiril eremenko,294,All Levels,415,4.5,106337
4,web develop bootcamp,cours need learn web develop html css js node colt steel,402,All Levels,47,4.6,153435
5,java program masterclass softwar develop,learn java cours becom comput programm obtain valuabl core java skill java certif tim buchalka,400,All Levels,805,4.6,98404
6,react complet guid incl hook react router redux,dive learn reactj scratch learn reactj hook redux react rout anim nextj way academind maximilian schwarzmüller,543,All Levels,45,4.6,63203
7,complet javascript cours build real project,master javascript complet cours project challeng quizz javascript es oop ajax webpack jona schmedtmann,166,All Levels,28,4.6,62841
8,python data scienc machin learn bootcamp,learn use numpi panda seaborn matplotlib plotli scikitlearn machin learn tensorflow jose portilla,164,All Levels,25,4.5,62766
9,io swift complet io app develop bootcamp,beginn io app develop one cours fulli updat comprehens modul dedic swiftui angela yu,544,All Levels,585,4.7,30925
10,angular complet guid edit,master angular formerli angular build awesom reactiv web app successor angularj maximilian schwarzmüller,504,All Levels,37,4.6,106200
11,complet python develop zero masteri,becom python develop get hire build project learn web develop machin learn andrei neagoi,322,All Levels,305,4.6,6044
12,docker masteri kubernet swarm docker captain,build test deploy contain best megacours docker kubernet compos swarm registri use devop bret fisher,172,All Levels,195,4.6,30756
13,ultim mysql bootcamp go sql beginn expert,becom indemand sql master creat complex databas build report realworld project colt steel,320,Beginner,205,4.6,33045
14,ultim aw certifi develop associ new,becom aw certifi develop learn aw certifi develop associ topic pass certifi develop exam stephan maarek aw certifi solut architect develop,220,All Levels,19,4.6,14179
15,learn python program masterclass,python beginn cours teach python languag fast includ python onlin train python tim buchalka,316,All Levels,50,4.5,34198
16,docker kubernet complet guid,build test deploy docker applic kubernet learn productionstyl develop workflow stephen grider,305,All Levels,22,4.6,21897
17,deep learn az handson artifici neural network,learn creat deep learn algorithm python two machin learn data scienc expert templat includ kiril eremenko,189,All Levels,23,4.5,27220
18,complet flutter develop bootcamp dart,offici creat collabor googl flutter team angela yu,230,All Levels,28,4.7,8458
19,modern javascript bootcamp cours,uptod js resourc onlin master javascript build beauti portfolio project colt steel,483,All Levels,52,4.7,1842
20,learn flutter dart build io android app,complet guid flutter sdk flutter framework build nativ io android app academind maximilian schwarzmüller,605,All Levels,59,4.6,15843
21,begin c program beginn beyond,obtain modern c objectori program oop stl skill need game system applic develop tim buchalka learn program academi,266,All Levels,395,4.5,17688
22,complet c uniti develop learn code make game,game develop design learn uniti c first uniti game web mac pc includ tilemap ben tristem,221,All Levels,35,4.7,68847
23,python mega cours build real world applic,complet python cours beginn intermedi master python make amaz python app ardit sulc,264,All Levels,24,4.5,32337
24,complet web develop zero masteri,learn code becom web develop html css javascript react nodej machin learn andrei neagoi,335,All Levels,35,4.7,29964
25,javascript complet guid beginn advanc,modern javascript begin way js expert level musthav javascript resourc academind maximilian schwarzmüller,614,All Levels,525,4.7,3361
26,complet nodej develop cours rd edit,learn nodej build realworld applic node express mongodb jest andrew mead,177,All Levels,345,4.7,40272
27,complet react develop w redux hook graphql,becom senior react develop build massiv ecommerc app redux hook graphql contextapi stripe firebas andrei neagoi,335,All Levels,40,4.6,5039
28,complet c uniti develop learn code make game,game develop design learn c use uniti engin first uniti game web mac pc ben tristem,216,All Levels,34,4.6,15815
29,nodej complet guid incl mvc rest api graphql,master node js build rest api nodej graphql api add authent use mongodb sql much academind maximilian schwarzmüller,487,All Levels,365,4.7,12895
30,build respons real world websit html css,easiest way learn modern web design html css stepbystep scratch design code huge project jona schmedtmann,77,All Levels,12,4.6,33784
31,react nativ practic guid,use react nativ react knowledg take web develop skill build nativ io android app academind maximilian schwarzmüller,488,All Levels,455,4.7,11242
32,advanc css sass flexbox grid anim,advanc modern css cours internet master flexbox css grid respons design much jona schmedtmann,125,Intermediate,28,4.8,18419
33,learn python data analysi visual,learn python use analyzevisu present data includ ton sampl code hour video jose portilla,110,All Levels,21,4.4,12620
34,unreal engin c develop learn c make video game,creat collabor epic game learn c basic make first video game unreal ben tristem,303,All Levels,485,4.6,39016
35,complet web develop cours,learn web develop build websit mobil app use html css javascript php python mysql rob perciv,308,All Levels,305,4.5,55068
36,vue js complet guid incl vue router vuex,vuej awesom javascript framework build frontend applic vuej mix best angular react maximilian schwarzmüller,400,All Levels,22,4.7,33813
37,spring hibern beginn includ spring boot,spring learn spring core aop spring mvc spring secur spring rest spring boot thymeleaf jpa hibern chad darbi,561,All Levels,42,4.6,35374
