_id,Course_Name,Course_content,Course_Description,instructor,level
5e4137928234e9fbee456b9a,"['Fusion 360: Tips, Tricks, and Techniques']","['Welcome', 'Z-up for 3D printing', 'Sketch and modeling environment', 'Selecting nested objects', 'Intersect: Protruding text on faces of a cylinder', 'Center of rotation in camera orbit', 'Snap to grid and incremental move', 'Capture Design History', 'Sharing files inside Fusion 360', 'File version and file promotion', 'Custom keyboard shortcuts', 'Create an arc in the Line command', 'S key', 'Redefining sketch planes', 'Window and crossing selection', 'Terminating line chain creation', 'Right-click to grab sketch constraints', 'Reuse sketch profiles', 'Find in browser']","['Fusion 360—the popular 3D design and fabrication tool from Autodesk—is constantly evolving. This weekly series keeps you up to date with the latest and greatest in the Fusion 360 feature set, providing tips tailored for beginners jump-starting their learning journey with this tool. Instructor Jomarc Baquiran presents a new topic each week, highlighting helpful techniques and best practices that you might not find in the Fusion 360 documentation. Tune in every Friday for a new tip to enhance your design workflow.\n\nNote: Because this is an ongoing series, viewers will not receive a certificate of completion.']",['Find in browser'],['Beginner + Intermediate']
5e4137988234e9fbee456b9b,['Raspberry Pi Weekly'],"['A power switch for the Raspberry Pi', 'Raspberry Pi Weekly', 'Why Raspberry Pi?', 'The Raspberry Pi family', 'GPIO male to female jumpers', 'Weatherproofing Pi', 'Power and batteries', 'IR rangefinder project', 'Clock project', 'Wire a stepper motor', 'Code a stepper motor', 'gpiozero library', 'Take a screenshot', 'Analog to digital', 'Autostart file setup', 'Simple connection to a speaker', 'Red LED, RGB LED, blink, and glow', 'Connect input to output: Range finder to LED', 'Raspberry Pi Desktop on a laptop', 'Programming with Node-RED', 'Programming IoT with IFTTT', 'Update the Raspberry Pi with apt-get', 'A clean and simple web server', 'Use SSH to control the Raspberry Pi', 'Camera control with raspistill', 'GPIO pinout charts', 'Back up the Raspberry Pi', 'Use SmartSim to explore logic circuits', 'Raspberry Pi 4', 'Change your default password', 'Mathematica and general-purpose input/output (GPIO)', 'Build a Raspberry Pi private cloud', 'Dealing with undervoltage', 'Play music with Sonic Pi', 'Add a printer to Raspberry Pi', 'Use Screenly for web kiosks', 'Use raspivid for Raspberry Pi Videos', 'Build an MQTT publisher', 'Build an MQTT client', 'Connect to MQTT with Node-RED', 'Build an MQTT broker']","['Raspberry Pi lets you explore electronics, computer, programming, and the Internet of Things. You can build complex projects on a budget—from robots to media servers. This weekly series helps you create meaningful projects in a short time, and learn tips and key techniques that will help you across your creations. Each episode teaches you a coherent set of software and hardware approaches to connect computing power to the physical world. Join instructor Mark Niemann-Ross every week for a new Raspberry Pi technique.\n\nNote: Because this course is an ongoing series, viewers will not receive a certificate of completion.']",['Build an MQTT broker'],['Intermediate']
5e41379c8234e9fbee456b9c,['Power BI Quick Tips'],"['Working faster in Power BI', 'Sharing a Power BI dashboard or report', 'Accessing Shared with me dashboards', 'Creating a group workspace', 'Editing a group workspace', 'Leaving a group workspace', 'Publishing a workbook from the Excel app', 'Uploading a file to Power BI online', 'Connecting to a sample data file', 'Connecting to an app', 'Creating a new report', 'Creating a chart tile', 'Creating a dashboard', 'Creating a big number tile', 'Creating a table tile', 'Creating a slicer', 'Rearranging and resizing tiles', 'Asking natural language questions', 'Filtering data', 'Getting quick insights', 'Getting usage metrics', 'Subscribing to email notifications', 'Bookmarking a report', 'Favoriting a dashboard', 'Getting a link to embed to SharePoint', 'Exporting to a PowerPoint presentation', 'Exporting to a PDF', 'Getting a secure embed code', 'Pinning a report to a team channel', 'Publishing an app', 'Creating a mobile phone view', 'Working with the mobile app', 'Opening the SharePoint document library', 'Accessing conversations in an Outlook group', 'Accessing the Office 365 calendar']","['This collection of Microsoft Power BI quick tip videos is designed to demonstrate helpful tricks and quickly explain useful features. Discover quick ways to connect data, analyze data, and create visualizations in one place. Plus, explore how to connect and embed data, edit a group workspace, customize a dashboard for mobile phone viewing, and more.']",['Accessing the Office 365 calendar'],['General']
5e4137a08234e9fbee456b9d,['Difficult Situations: Solutions for Managers'],"['The tough stuff of being a manager', 'React to an employee who disagrees with you']","[""Managing someone else is a privilege and a responsibility; you can't be a passive bystander—you must be willing to engage and be ready to solve difficult problems. This course offers simple and effective actions to take when challenging situations arise. Dr. Todd Dewett and leadership expert Sara Canaday offer short and valuable advice to improve rapport with your teams, build stronger relationships, and drive business forward. Learn how to manage an employee who publicly disagrees with one of your decisions, deal with your high performers when you don’t always have the opportunities they want, keep track of virtual teams, tell your boss you’re overwhelmed without appearing incompetent, and more.\n\nNote: Because this course is an ongoing series, viewers will not receive a certificate of completion.""]","['React to an employee who disagrees with you', 'React to an employee who disagrees with you']",['Beginner + Intermediate']
5e4137a68234e9fbee456b9e,['UX for Web Forms'],"['Get your UX web form jam on', 'What is a form?', 'Why does form design matter?', 'Terminology', 'Types of forms', 'Audience', 'Types of inputs', 'The impact of form design', 'Form design principles', 'Considerations prior to starting', 'Expectations', 'Main purpose of a form', 'Voice and words matter', 'Psychology of forms', 'Types of inputs and key components', 'Incorporate visual information', 'Endowed progress effect', 'Show progress', 'Colors and design', 'Question order', 'Grouping questions', 'Placeholder text', 'Default values', 'Labels', 'Conditional logic', 'Primary versus secondary buttons', 'Alignment and styling', 'Labeling, agreeing, and submitting', 'Placement of labels', 'Floating labels', 'How many columns?', 'Width of fields', 'Required and optional fields', 'Help text', 'Errors', 'Validation and success messaging', 'Mobile forms', 'Login forms', 'Booking or registration forms', 'Contact forms', 'Payment forms', 'Very long forms', 'Input masks', 'Redundant fields', 'CAPTCHA', 'Accessibility', 'Confirmation', 'Next steps']","['Explore ways to design web forms that excel in usability, and learn about techniques for creating forms that are visually appealing and simple to use. Instructor Emily Kay begins with an explanation of why form design is important, describing the ways that specific form elements can influence results. Discover how user expectations impact design, and how to make a form accessible so people using screen readers can more easily identify and understand form controls. Find out how to organize a form to keep users focused for optimal results, and how to overcome common design challenges. Learn ways to help circumvent scams and malicious submissions to a form, and methods to handle errors and validation.']",['Next steps'],['Intermediate']
5e4137a98234e9fbee456b9f,['DIY Filmmaking Tips Weekly'],"['Welcome', 'Formatting a screenplay', 'Film production workflow overview', 'Pre-production workflow', 'Production workflow', 'Post-production workflow']","['Do you have big filmmaking dreams but lack the Hollywood budget? By diving into the world of DIY filmmaking, you can make your film dreams come true. Ash Blodgett is an award-winning indie film director who wants to help you achieve your filmmaking goals—without going bankrupt. Learn how to format a screenplay, create an effective shot list, make a budget you can stick to, build your own props, keep your shoots running smoothly, and much more. Ash helps you find creative and low-cost solutions to a variety of problems, and shares time-saving workflows that will free up more time for what you love best: making movies.\n\nNote: Because this course is an ongoing series, viewers will not receive a certificate of completion.']",['Post-production workflow'],['Beginner + Intermediate']
5e4137ae8234e9fbee456ba0,['Configure and Manage OneDrive and Teams'],"['Manage cloud collaboration in OneDrive and Teams', 'What you should know', 'Create a free Outlook.com account', 'Create a free Microsoft 365 E5 trial account', 'OneDrive for Business overview', 'Key OneDrive features', 'OneDrive deployment', 'OneDrive cdmin center', 'Manage storage space', 'Configuring data retention', 'Manage sharing', 'Managing sync security', 'Group Policy settings for sync', 'Managing device access', 'Add and remove admins for a OneDrive account', 'Activity reports', 'Usage reports', 'Teams overview', 'Deploy Teams', 'Teams and channels', 'Create users in Office 365', 'Create groups in Office 365', 'Microsoft Teams admin center', 'Teams client', 'Create a team from scratch', 'Create channels', 'Create a team from a group', 'Configure guest access', 'Manage teams', 'Manage users', 'Configure meeting policies', 'Configure messaging policies', 'App policies', 'Deploy Teams client apps', 'Auditing in Teams', 'Configure content search', 'eDiscovery with a legal hold', 'Next steps']","['Microsoft OneDrive and Teams are significant components of Microsoft 365 teamwork solutions. OneDrive is a cloud storage platform that allows users to easily store, sync, and share files, and Teams is a communication platform that makes it easy for teams around the world to connect. In this course, join Ed Liberman as he shows how to configure and manage OneDrive and Teams. Learn about the key features of both OneDrive for Business and Teams, how to prepare for a Teams deployment, how to configure and manage Teams, and more. This course also aligns with the configure and manage OneDrive for Business and configure and manage Teams domains in the Deploying Microsoft 365 Teamwork exam (MS-300), one of two required exams for the Microsoft 365 Teamwork Administrator Associate certification.']",['Next steps'],['Intermediate']
5e4137b28234e9fbee456ba1,['ESLint: Integrating with Your Workflow'],"['Customizing automatic error checking', 'What you should know', 'Using the exercise files for this course', 'Setting up a project with ESLint', 'Enforcing code style with ESLint', 'Integrating ESLint with webpack', 'Using ESLint in an editor', 'Challenge: Add ESLint to a project', 'Solution: Add ESLint to a project', 'Next steps']","[""Errors crop up in even the most experienced JavaScript developer's code. ESLint can help you catch these issues early and often; it gives you a heads-up when your JavaScript code might work, but isn't quite right. This popular tool highlights errors as you're coding and allows you to write and enforce custom rules. In this concise course—the first in the ESLint series—learn how to integrate ESLint into your workflow to customize automatic error checking. Instructor Sasha Vodnik steps through how to add ESLint to a project and configure it to examine code style and automatically populate your configuration with rules from a style guide. Plus, learn how to configure and use the ESLint extension for your code editor.""]",['Next steps'],['Advanced']
5e41381e21a7229605e49ec5,['After Effects 2020 Essential Training: The Basics'],"['Amazing things happen in Adobe After Effects', 'The language of After Effects', 'The language of motion graphics and effects', 'What is After Effects for?', 'Using the exercise files and relinking footage', 'The six foundations of After Effects', 'Exploring the After Effects user interface', 'Begin with compositions', 'Compositing with layers', 'Animating with the timeline', 'Adding effects to a layer', 'Basics of 3D in After Effects', 'Finishing with rendering', 'Importing a Premiere Pro sequence', 'Customizing text', 'Putting text in motion', 'Matching a moving camera', 'Distorting a layer', 'Animating an Illustrator logo', 'Adding dimension to a design', 'Many ways to learn After Effects']","['In a course designed to inform and inspire beginners, instructor Mark Christiansen covers the basics of Adobe After Effects 2020. Mark starts by describing the core terminology of film, video, and animation before moving on to an exploration of the After Effects interface. Next, he covers fundamentals of working in After Effects: building compositions, working with layers, animating, adding effects, designing in 3D, and rendering. Mark employs these techniques to walk through a sample project, demonstrating how everything comes together in an actual workflow.']",['Many ways to learn After Effects'],['Beginner']
5e41382321a7229605e49ec6,['Threat Modeling: Repudiation in Depth'],"['The threat of repudiation', 'Four-question framework', 'Repudiation as part of STRIDE', 'Message repudiation', 'Operational repudiation', 'Buyers and sellers', 'Intermediaries', 'Account takeover', 'Identity theft and repudiation', 'Catfishing, deepfakes, and voice cloning', 'Attacks on logs', 'Attacks via logs and response systems', 'Cloud', 'AI and machine learning', 'Crypto and blockchain', 'Cryptographic defenses', 'Logs', 'Log analysis', 'Anti-fraud', 'Next steps']","['Repudiation—the third stage in the STRIDE threat modeling framework—involves the acceptance or denial of responsibility. In the case of identity theft, repudiation comes into play when victims deny involvement with the charges racked up by the criminal. These threats impact all sorts of systems, and security professionals and developers need to understand how they work, and how they can ensure that their systems offer defenses that accurately indicate responsibility. In this installment of his Threat Modeling series, Adam Shostack takes a deep dive into the subject of repudiation. Using practical examples, Adam covers the issues of fraud, identity theft, attacks on logs, and repudiation in specific technologies such as blockchain and the cloud.']",['Next steps'],['Intermediate']
