_id,Course_Name,Course_Rate,Course_Description,Lectures_Num,Course_Level,Course_hours
5e4113dd70dfe123d09ba3b7,Complete Python Bootcamp: Go from zero to hero in Python 3,"4.5
(229,492 ratings)",Learn Python like a Professional! Start from the basics and go all the way to creating your own applications and games! | By Jose Portilla,185 lectures,All Levels,24 hours
5e4113dd70dfe123d09ba3b8,The Data Science Course 2020: Complete Data Science Bootcamp,"4.5
(45,837 ratings)","Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning | By 365 Careers",471 lectures,All Levels,29 hours
5e4113dd70dfe123d09ba3b9,The Complete 2020 Web Development Bootcamp,"4.7
(37,617 ratings)","Become a full-stack web developer with just one course. HTML, CSS, Javascript, Node, React, MongoDB and more! | By Angela Yu",463 lectures,All Levels,53.5 hours
5e4113dd70dfe123d09ba3ba,Machine Learning A-Z™: Hands-On Python & R In Data Science,"4.5
(106,337 ratings)",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included. | By Kirill Eremenko,294 lectures,All Levels,41.5 hours
5e4113dd70dfe123d09ba3bb,The Web Developer Bootcamp,"4.6
(153,435 ratings)","The only course you need to learn web development - HTML, CSS, JS, Node, and More! | By Colt Steele",402 lectures,All Levels,47 hours
5e4113dd70dfe123d09ba3bc,Java Programming Masterclass for Software Developers,"4.6
(98,404 ratings)",Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification | By Tim Buchalka,400 lectures,All Levels,80.5 hours
5e4113dd70dfe123d09ba3bd,"React - The Complete Guide (incl Hooks, React Router, Redux)","4.6
(63,203 ratings)","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more! | By Academind by Maximilian Schwarzmüller",543 lectures,All Levels,45 hours
5e4113dd70dfe123d09ba3be,The Complete JavaScript Course 2020: Build Real Projects!,"4.6
(62,841 ratings)","Master JavaScript with the most complete course! Projects, challenges, quizzes, JavaScript ES6+, OOP, AJAX, Webpack | By Jonas Schmedtmann",166 lectures,All Levels,28 hours
5e4113dd70dfe123d09ba3bf,Python for Data Science and Machine Learning Bootcamp,"4.5
(62,766 ratings)","Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more! | By Jose Portilla",164 lectures,All Levels,25 hours
5e4113dd70dfe123d09ba3c0,iOS 13 & Swift 5 - The Complete iOS App Development Bootcamp,"4.7
(30,925 ratings)",From Beginner to iOS App Developer with Just One Course! Fully Updated with a Comprehensive Module Dedicated to SwiftUI! | By Angela Yu,544 lectures,All Levels,58.5 hours
